"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.762083411E-4,-2.197143137E-1,-5.696895719E-2,-7.902377099E-2,2.403426681E-1
9.840791667E-3,-2.250009477E-1,-1.045628414E-1,-1.148209125E-1,2.733910317E-1
1.985779166E-2,-4.990823567E-2,-9.151931107E-2,-1.850919276E-1,2.124279595E-1
2.987379166E-2,1.306365132E-1,1.402707696E-1,-2.447001189E-1,3.108374745E-1
3.989079167E-2,3.204761073E-2,4.780937433E-1,-2.122727185E-1,5.240805127E-1
4.990779166E-2,-5.428834260E-2,4.752825201E-1,-1.917717159E-1,5.153805284E-1
5.992379166E-2,-1.274509169E-2,1.832426190E-1,-2.067206055E-1,2.765387921E-1
6.994079167E-2,1.413072227E-3,3.341237828E-2,-2.094586045E-1,2.121115055E-1
7.995679167E-2,-4.428567737E-2,1.849773079E-1,-1.939580142E-1,2.716570208E-1
8.997379166E-2,-1.502899081E-2,3.780189455E-1,-1.948384643E-1,4.255422668E-1
9.999079167E-2,8.087733388E-2,4.340299666E-1,-2.182545811E-1,4.925019972E-1
1.100067917E-1,9.833062440E-2,3.839787841E-1,-2.124033570E-1,4.496930113E-1
1.200237917E-1,3.367841989E-2,2.966735065E-1,-1.932492107E-1,3.556608818E-1
1.300407917E-1,-3.805839689E-3,2.574534118E-1,-1.760904640E-1,3.119368449E-1
1.400567917E-1,4.585343599E-2,3.323029876E-1,-1.695878506E-1,3.758827639E-1
1.500737917E-1,1.163102984E-1,4.469502270E-1,-1.728520840E-1,4.931231428E-1
1.600897917E-1,1.277197599E-1,4.916623235E-1,-1.615568995E-1,5.330523513E-1
1.701067917E-1,1.009065211E-1,4.438048005E-1,-1.425986439E-1,4.769477961E-1
1.801237917E-1,9.091138095E-2,3.612857759E-1,-1.275288165E-1,3.937713678E-1
1.901397917E-1,1.092917174E-1,3.337750435E-1,-1.109668836E-1,3.683260898E-1
2.001567917E-1,1.283643842E-1,3.822433949E-1,-9.369909018E-2,4.139649110E-1
2.101737917E-1,1.447153836E-1,4.551607370E-1,-8.082297444E-2,4.844029232E-1
2.201897917E-1,1.541278809E-1,4.875742793E-1,-6.282153726E-2,5.151995992E-1
2.302067917E-1,1.602784544E-1,4.742201269E-1,-4.669263586E-2,5.027465703E-1
2.402237917E-1,1.536801010E-1,4.443557858E-1,-2.332476526E-2,4.707586245E-1
2.502397917E-1,1.498235762E-1,4.344621599E-1,-5.837918259E-3,4.596069556E-1
2.602567917E-1,1.525834948E-1,4.335646033E-1,1.189267077E-2,4.597841056E-1
2.702727917E-1,1.606536806E-1,4.364547133E-1,2.644311823E-2,4.658342628E-1
2.802897917E-1,1.665899158E-1,4.399622679E-1,4.507054761E-2,4.725995678E-1
2.903067917E-1,1.640721709E-1,4.479618669E-1,6.124605238E-2,4.809787837E-1
3.003227917E-1,1.573743522E-1,4.545623362E-1,7.437932491E-2,4.867503346E-1
3.103397917E-1,1.523846537E-1,4.538866878E-1,8.992578834E-2,4.871558841E-1
3.203567917E-1,1.518333405E-1,4.513188899E-1,9.946553409E-2,4.864519464E-1
3.303727917E-1,1.483477950E-1,4.472591877E-1,1.107078046E-1,4.840496537E-1
3.403897917E-1,1.444460601E-1,4.414347112E-1,1.203757748E-1,4.798120420E-1
3.504067917E-1,1.331952661E-1,4.247308373E-1,1.267369986E-1,4.628169508E-1
3.604227917E-1,1.260138303E-1,4.136499166E-1,1.307183951E-1,4.517444386E-1
3.704397917E-1,1.159675717E-1,4.087659419E-1,1.372463405E-1,4.465138642E-1
3.804557917E-1,1.130971760E-1,3.940808773E-1,1.362031251E-1,4.320208332E-1
3.904727917E-1,1.100569069E-1,3.919844329E-1,1.389419138E-1,4.301966688E-1
4.004897917E-1,9.803517908E-2,3.920314312E-1,1.342774481E-1,4.258285717E-1
4.105057917E-1,9.702423960E-2,3.732880950E-1,1.301500797E-1,4.070586545E-1
4.205227917E-1,9.000681341E-2,3.519511223E-1,1.243595704E-1,3.839741159E-1
4.305397917E-1,8.014539629E-2,3.292980194E-1,1.187994257E-1,3.591291880E-1
4.405557917E-1,7.122042030E-2,3.030219972E-1,1.090096235E-1,3.298147618E-1
4.505727917E-1,6.465785950E-2,2.815822065E-1,1.011525020E-1,3.061062013E-1
4.605887917E-1,5.846242607E-2,2.627087533E-1,9.049609303E-2,2.839424012E-1
4.706057917E-1,5.504239351E-2,2.486946583E-1,7.635550946E-2,2.659113799E-1
4.806227917E-1,5.098555982E-2,2.248691469E-1,6.111982092E-2,2.385399192E-1
4.906387917E-1,4.809443280E-2,2.022474557E-1,5.042882636E-2,2.139162788E-1
5.006557917E-1,4.523805901E-2,1.769356132E-1,3.782450408E-2,1.865030463E-1
5.106727917E-1,3.973863274E-2,1.480736136E-1,2.198428661E-2,1.548814477E-1
5.206887917E-1,3.550033271E-2,1.160956249E-1,7.903923281E-3,1.216591128E-1
5.307057917E-1,3.006402217E-2,8.503118157E-2,-7.028687745E-3,9.046297431E-2
5.407217917E-1,2.736650594E-2,5.853059888E-2,-2.089550160E-2,6.790713246E-2
5.507387917E-1,2.101726457E-2,3.868499026E-2,-3.502250463E-2,5.625681925E-2
5.607557917E-1,2.020795085E-2,8.805990219E-3,-4.813628271E-2,5.294344581E-2
5.707717917E-1,1.482516993E-2,-1.854706928E-2,-6.433789432E-2,6.857947279E-2
5.807887917E-1,5.934291985E-3,-4.587116092E-2,-7.675082237E-2,8.961064646E-2
5.908057917E-1,4.315888975E-3,-7.351078093E-2,-8.866100758E-2,1.152529222E-1
6.008217917E-1,1.648392761E-3,-9.682865441E-2,-9.876769036E-2,1.383241200E-1
6.108387917E-1,-2.939168364E-3,-1.193605959E-1,-1.083018109E-1,1.611982408E-1
6.208557917E-1,-1.357894391E-2,-1.451408565E-1,-1.152784228E-1,1.858477084E-1
6.308717917E-1,-1.931326278E-2,-1.724073738E-1,-1.207517534E-1,2.113723980E-1
6.408887917E-1,-2.882544510E-2,-1.931679249E-1,-1.266435981E-1,2.327731824E-1
6.509047917E-1,-3.789909929E-2,-2.191481292E-1,-1.293008924E-1,2.572566132E-1
6.609217917E-1,-4.454789683E-2,-2.372999936E-1,-1.273244619E-1,2.729602914E-1
6.709387917E-1,-5.527058244E-2,-2.584060729E-1,-1.271569580E-1,2.932531803E-1
6.809547917E-1,-6.410127878E-2,-2.719480395E-1,-1.254258454E-1,3.062619024E-1
6.909714583E-1,-7.225134969E-2,-2.955002189E-1,-1.190907136E-1,3.266852230E-1
7.009884583E-1,-8.537077159E-2,-3.111612201E-1,-1.090479791E-1,3.405891003E-1
7.110044583E-1,-9.549051523E-2,-3.308608830E-1,-1.001482308E-1,3.586321661E-1
7.210214583E-1,-1.015323550E-1,-3.473543227E-1,-8.635333180E-2,3.720493818E-1
7.310374583E-1,-1.131029874E-1,-3.612240553E-1,-7.714332640E-2,3.862980672E-1
7.410544583E-1,-1.194725335E-1,-3.731421232E-1,-6.194004416E-2,3.966677444E-1
7.510714583E-1,-1.305515468E-1,-3.842991590E-1,-4.562711716E-2,4.084254936E-1
7.610874583E-1,-1.347812861E-1,-3.915275335E-1,-2.929416858E-2,4.151119764E-1
7.711044583E-1,-1.386572421E-1,-4.038457274E-1,-1.154500060E-2,4.271422355E-1
7.811214583E-1,-1.465720832E-1,-4.102818072E-1,1.037660614E-2,4.358006549E-1
7.911374583E-1,-1.497849226E-1,-4.164872468E-1,2.957213856E-2,4.435895187E-1
8.011544583E-1,-1.521874666E-1,-4.288470149E-1,4.932538047E-2,4.577158293E-1
8.111704583E-1,-1.541211903E-1,-4.349123538E-1,6.835419685E-2,4.664487035E-1
8.211874583E-1,-1.574174613E-1,-4.391524196E-1,8.912394941E-2,4.749507165E-1
8.312044583E-1,-1.564456671E-1,-4.447474480E-1,1.051753461E-1,4.830500933E-1
8.412204583E-1,-1.512136161E-1,-4.478356540E-1,1.246012449E-1,4.888228728E-1
8.512374583E-1,-1.469182074E-1,-4.501073360E-1,1.434867829E-1,4.947423880E-1
8.612544583E-1,-1.420949399E-1,-4.527355433E-1,1.604883075E-1,5.009161017E-1
8.712704583E-1,-1.363563538E-1,-4.536295533E-1,1.721225828E-1,5.039831449E-1
8.812874583E-1,-1.327394247E-1,-4.535790980E-1,1.842845827E-1,5.072618263E-1
8.913034583E-1,-1.223315224E-1,-4.552297294E-1,1.979790777E-1,5.112678585E-1
9.013204583E-1,-1.161861196E-1,-4.550843537E-1,2.082261741E-1,5.137695232E-1
9.113374583E-1,-1.065899506E-1,-4.530630112E-1,2.127721906E-1,5.117611892E-1
9.213534583E-1,-9.788952768E-2,-4.490275085E-1,2.201994061E-1,5.096036121E-1
9.313704583E-1,-9.032029659E-2,-4.435012043E-1,2.234335393E-1,5.047510482E-1
9.413874583E-1,-8.013702929E-2,-4.362332523E-1,2.226632535E-1,4.962865285E-1
9.514034583E-1,-7.305089384E-2,-4.283633530E-1,2.189550698E-1,4.865931749E-1
9.614204583E-1,-6.528649479E-2,-4.202185571E-1,2.168116719E-1,4.773397775E-1
9.714364583E-1,-5.486847833E-2,-4.085763097E-1,2.109559178E-1,4.630848195E-1
9.814534583E-1,-5.220130086E-2,-4.006669223E-1,2.020280808E-1,4.517458399E-1
9.914704583E-1,-4.528560117E-2,-3.888952136E-1,1.910023242E-1,4.356284664E-1
1.001486458E0,-4.091416299E-2,-3.741023839E-1,1.788855493E-1,4.166852554E-1
1.011503458E0,-3.891519457E-2,-3.581473827E-1,1.642248482E-1,3.959213822E-1
1.021519458E0,-3.205782920E-2,-3.417483568E-1,1.510541141E-1,3.750159852E-1
1.031536458E0,-2.934327163E-2,-3.208678365E-1,1.343374550E-1,3.490898851E-1
1.041553458E0,-2.768175863E-2,-3.006491065E-1,1.199340373E-1,3.248697251E-1
1.051569458E0,-2.843809687E-2,-2.811041474E-1,9.985034168E-2,2.996637412E-1
1.061586458E0,-3.059809841E-2,-2.571322322E-1,8.018912375E-2,2.710784463E-1
1.071603458E0,-2.968782932E-2,-2.378131151E-1,5.790698156E-2,2.465555991E-1
1.081619458E0,-2.723036148E-2,-2.144381404E-1,4.058644176E-2,2.199374181E-1
1.091636458E0,-2.764927596E-2,-1.863353997E-1,1.930139400E-2,1.893618427E-1
1.101653458E0,-3.209067136E-2,-1.593726277E-1,-6.596045569E-5,1.625713690E-1
1.111669458E0,-3.225499019E-2,-1.306429803E-1,-1.838025264E-2,1.358153393E-1
1.121686458E0,-3.696892038E-2,-1.021081954E-1,-3.833520785E-2,1.151623758E-1
1.131702458E0,-3.955165297E-2,-7.499402016E-2,-5.549262092E-2,1.013304855E-1
1.141719458E0,-3.900989518E-2,-4.562463611E-2,-7.378801703E-2,9.512124263E-2
1.151736458E0,-4.026051611E-2,-1.710164733E-2,-9.320938587E-2,1.029629308E-1
1.161752458E0,-3.787554801E-2,1.173400972E-2,-1.098930836E-1,1.168277961E-1
1.171769458E0,-4.019862041E-2,4.059974477E-2,-1.267887056E-1,1.390670494E-1
1.181785458E0,-4.020492733E-2,6.837140024E-2,-1.398791522E-1,1.608019333E-1
1.191802458E0,-3.495983407E-2,9.777030349E-2,-1.531989425E-1,1.850706304E-1
1.201819458E0,-3.493953869E-2,1.239263043E-1,-1.609909683E-1,2.061470159E-1
1.211835458E0,-3.006009571E-2,1.498106420E-1,-1.732409745E-1,2.309962620E-1
1.221852458E0,-2.548940107E-2,1.722839773E-1,-1.834420413E-1,2.529475457E-1
1.231869458E0,-2.133566886E-2,1.989248991E-1,-1.878908575E-1,2.744618381E-1
1.241885458E0,-1.223950088E-2,2.215636224E-1,-1.953815967E-1,2.956589462E-1
1.251902458E0,-6.711044814E-3,2.455139756E-1,-1.972380877E-1,3.150000215E-1
1.261918458E0,9.465647163E-4,2.646646500E-1,-1.981864870E-1,3.306450613E-1
1.271935458E0,8.706217632E-3,2.853941321E-1,-1.990008801E-1,3.480329858E-1
1.281952458E0,2.069065534E-2,3.007683158E-1,-1.993796676E-1,3.614442348E-1
1.291968458E0,3.017364070E-2,3.169859052E-1,-1.931313574E-1,3.724113772E-1
1.301985458E0,4.112444073E-2,3.334192932E-1,-1.928512454E-1,3.873644893E-1
1.312001458E0,5.149159580E-2,3.493170142E-1,-1.841080785E-1,3.982079173E-1
1.322018458E0,6.129401922E-2,3.603418171E-1,-1.744015515E-1,4.049926952E-1
1.332035458E0,7.045369595E-2,3.723401427E-1,-1.670727879E-1,4.141427551E-1
1.342051458E0,8.189170808E-2,3.827618957E-1,-1.552049518E-1,4.210718438E-1
1.352068458E0,9.447886795E-2,3.897931874E-1,-1.434044838E-1,4.259458080E-1
1.362085458E0,1.029942632E-1,4.015104175E-1,-1.298515499E-1,4.343729487E-1
1.372101458E0,1.123645976E-1,4.093198478E-1,-1.188849285E-1,4.407971947E-1
1.382118458E0,1.195034981E-1,4.160535634E-1,-1.045910046E-1,4.453323836E-1
1.392134458E0,1.259723157E-1,4.231122732E-1,-8.787380904E-2,4.501275668E-1
1.402151458E0,1.354443282E-1,4.278317094E-1,-7.238389552E-2,4.545597496E-1
1.412168458E0,1.416260600E-1,4.312437475E-1,-5.705687031E-2,4.574763350E-1
1.422184458E0,1.436893642E-1,4.333647788E-1,-4.114957154E-2,4.584156979E-1
1.432201458E0,1.468449384E-1,4.360963702E-1,-2.336391993E-2,4.607486873E-1
1.442217458E0,1.519462466E-1,4.396761656E-1,-8.032665588E-3,4.652604821E-1
1.452234458E0,1.523617059E-1,4.445971549E-1,4.441048019E-3,4.700004707E-1
1.462251458E0,1.524020135E-1,4.441626072E-1,2.144839987E-2,4.700710895E-1
1.472267458E0,1.522118747E-1,4.409255385E-1,3.421506286E-2,4.677119368E-1
1.482284458E0,1.529756337E-1,4.385749698E-1,4.631764442E-2,4.667921088E-1
1.492300458E0,1.493231207E-1,4.366915822E-1,5.919029564E-2,4.652960600E-1
1.502317458E0,1.479130983E-1,4.344913661E-1,6.907472759E-2,4.641469055E-1
1.512334458E0,1.440408677E-1,4.324210286E-1,7.951831073E-2,4.626649752E-1
1.522350458E0,1.364037246E-1,4.271497130E-1,8.673475683E-2,4.567119130E-1
