"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.786416662E-3,3.425698355E-2,4.974353686E-2,3.374003768E-1,3.427637301E-1
1.280241666E-2,1.159198880E-1,5.967232957E-2,2.977555096E-1,3.250485362E-1
2.281941667E-2,1.363540739E-1,1.815469116E-1,2.635673583E-1,3.478785232E-1
3.283641666E-2,9.730228782E-2,2.627762556E-1,2.365253568E-1,3.666924326E-1
4.285341667E-2,5.612688512E-2,2.197267860E-1,2.151449621E-1,3.125978926E-1
5.287041666E-2,3.660353646E-2,1.271202117E-1,1.887670755E-1,2.305046115E-1
6.288641666E-2,3.924247622E-2,8.860852569E-2,1.565724015E-1,1.841367961E-1
7.290341666E-2,4.710386321E-2,1.196183786E-1,1.235681176E-1,1.783154792E-1
8.292041667E-2,4.996139184E-2,2.085896581E-1,8.884171396E-2,2.321607984E-1
9.293741666E-2,4.530911520E-2,3.034509122E-1,4.948125780E-2,3.107792897E-1
1.029544167E-1,5.052469298E-2,3.085976243E-1,1.899377070E-2,3.132826226E-1
1.129714167E-1,5.132710189E-2,2.229135931E-1,-1.572719216E-2,2.292864713E-1
1.229874167E-1,3.056657314E-2,1.285526454E-1,-4.475581646E-2,1.395105055E-1
1.330044167E-1,2.840344387E-4,1.208923236E-1,-7.800831646E-2,1.438760995E-1
1.430214167E-1,7.283852901E-4,1.913764626E-1,-1.117045805E-1,2.215928570E-1
1.530384167E-1,3.687866777E-2,2.462820709E-1,-1.467168927E-1,2.890341523E-1
1.630544167E-1,5.754478276E-2,2.522771060E-1,-1.764215380E-1,3.131767861E-1
1.730714167E-1,4.333176091E-2,2.234840542E-1,-2.009748220E-1,3.036669937E-1
1.830884167E-1,1.605567522E-2,2.022581398E-1,-2.248082310E-1,3.028281370E-1
1.931054167E-1,2.634266764E-2,2.017153949E-1,-2.478805333E-1,3.206677337E-1
2.031224167E-1,5.863572285E-2,2.161396742E-1,-2.695582509E-1,3.504513624E-1
2.131384167E-1,7.148841023E-2,2.312523127E-1,-2.888179719E-1,3.768342418E-1
2.231554167E-1,6.321335584E-2,2.126586586E-1,-3.045825064E-1,3.768157861E-1
2.331724167E-1,5.195830390E-2,1.741637290E-1,-3.107570410E-1,3.600036227E-1
2.431894167E-1,6.286539882E-2,1.663522273E-1,-3.201317191E-1,3.662095568E-1
2.532064167E-1,8.436802775E-2,1.977807283E-1,-3.278594017E-1,3.920803080E-1
2.632224167E-1,1.071771532E-1,2.359346300E-1,-3.327805102E-1,4.217759592E-1
2.732394167E-1,1.100845262E-1,2.467523962E-1,-3.283479512E-1,4.252266748E-1
2.832564167E-1,1.126509905E-1,2.362469584E-1,-3.251217306E-1,4.173811336E-1
2.932734167E-1,1.182369739E-1,2.056245953E-1,-3.158398271E-1,3.949889271E-1
3.032904167E-1,1.225273833E-1,1.816560328E-1,-3.014602363E-1,3.726796855E-1
3.133064167E-1,1.142164543E-1,1.721895635E-1,-2.901545763E-1,3.562082570E-1
3.233234167E-1,1.124471202E-1,1.777784079E-1,-2.741830051E-1,3.455804356E-1
3.333404167E-1,1.265895665E-1,1.934889257E-1,-2.554050684E-1,3.445208726E-1
3.433574167E-1,1.369170249E-1,2.060888112E-1,-2.316730320E-1,3.389561381E-1
3.533734167E-1,1.358589530E-1,2.090276182E-1,-2.085554600E-1,3.250316602E-1
3.633904167E-1,1.249177679E-1,2.001115084E-1,-1.801010817E-1,2.967919544E-1
3.734074167E-1,1.163642183E-1,1.879110485E-1,-1.501154900E-1,2.671813126E-1
3.834244167E-1,1.162300333E-1,1.758667231E-1,-1.213563532E-1,2.432403942E-1
3.934414167E-1,1.126235798E-1,1.665898561E-1,-9.113480151E-2,2.207754582E-1
4.034574167E-1,9.946736693E-2,1.626896113E-1,-5.657465011E-2,1.989028852E-1
4.134744167E-1,8.613265306E-2,1.640398353E-1,-2.766150795E-2,1.873314189E-1
4.234914167E-1,7.870554179E-2,1.604459286E-1,5.999466404E-3,1.788112186E-1
4.335084167E-1,7.207667083E-2,1.663789302E-1,4.018992931E-2,1.857208263E-1
4.435254167E-1,5.679350719E-2,1.662010550E-1,7.495743781E-2,1.909631133E-1
4.535414167E-1,4.751478881E-2,1.597154588E-1,1.064120382E-1,1.977124295E-1
4.635584167E-1,3.012259677E-2,1.450524032E-1,1.381915212E-1,2.025943411E-1
4.735754167E-1,1.258141920E-2,1.257719249E-1,1.703294814E-1,2.121061089E-1
4.835924167E-1,-4.143100698E-3,1.123121902E-1,1.956391931E-1,2.256233304E-1
4.936084167E-1,-1.768341102E-2,1.031482518E-1,2.260264009E-1,2.490787000E-1
5.036254167E-1,-3.076389432E-2,1.035156995E-1,2.477387190E-1,2.702524563E-1
5.136424167E-1,-3.997976333E-2,1.086651906E-1,2.742041647E-1,2.976481633E-1
5.236594167E-1,-5.127400160E-2,1.025792360E-1,2.936697900E-1,3.152672969E-1
5.336764167E-1,-6.502523273E-2,8.505190909E-2,3.121987283E-1,3.300456849E-1
5.436924167E-1,-7.680208981E-2,7.142582536E-2,3.282379210E-1,3.445872057E-1
5.537094167E-1,-8.846513927E-2,5.637816340E-2,3.456265032E-1,3.611955951E-1
5.637264167E-1,-9.495499730E-2,4.218431562E-2,3.585081995E-1,3.732614326E-1
5.737434167E-1,-1.064228341E-1,2.815718390E-2,3.645969927E-1,3.808537957E-1
5.837604167E-1,-1.129309982E-1,1.347912103E-2,3.712149858E-1,3.882469096E-1
5.937764167E-1,-1.149954796E-1,3.015827388E-3,3.741900027E-1,3.914731327E-1
6.037934167E-1,-1.168109179E-1,-3.758358769E-3,3.743241727E-1,3.921447463E-1
6.138104167E-1,-1.199363992E-1,-1.109590009E-2,3.698055744E-1,3.889267562E-1
6.238274167E-1,-1.168770567E-1,-2.274698205E-2,3.616792262E-1,3.807749128E-1
6.338434167E-1,-1.185279489E-1,-3.869239241E-2,3.516899943E-1,3.731378137E-1
6.438604167E-1,-1.165004894E-1,-5.910207704E-2,3.380633891E-1,3.624255435E-1
6.538774167E-1,-1.115869582E-1,-7.772422582E-2,3.235464990E-1,3.509630202E-1
6.638944167E-1,-1.095274389E-1,-9.354816377E-2,3.073712289E-1,3.394474793E-1
6.739114167E-1,-1.016729772E-1,-1.060836613E-1,2.840326130E-1,3.197900292E-1
6.839274167E-1,-9.543992579E-2,-1.150875092E-1,2.590001822E-1,2.990568651E-1
6.939444167E-1,-8.622857928E-2,-1.255942136E-1,2.324490100E-1,2.779241203E-1
7.039614167E-1,-7.703150809E-2,-1.343394071E-1,2.041482925E-1,2.562371068E-1
7.139784167E-1,-6.664490700E-2,-1.468322873E-1,1.724074036E-1,2.360626549E-1
7.239944167E-1,-6.305663288E-2,-1.608404815E-1,1.394432783E-1,2.220140250E-1
7.340114167E-1,-5.714122579E-2,-1.760047674E-1,1.055300534E-1,2.130243883E-1
7.440284167E-1,-4.774256796E-2,-1.923517734E-1,7.115767151E-2,2.105753351E-1
7.540454167E-1,-4.151982814E-2,-2.046989799E-1,2.966536023E-2,2.109635089E-1
7.640624167E-1,-3.591676429E-2,-2.128475904E-1,-8.232902735E-3,2.160136371E-1
7.740784167E-1,-2.876777202E-2,-2.163698971E-1,-4.574006796E-2,2.230149567E-1
7.840959167E-1,-2.220192365E-2,-2.248696536E-1,-8.903688937E-2,2.428720943E-1
7.941129167E-1,-1.961626112E-2,-2.334772646E-1,-1.265991777E-1,2.663151941E-1
8.041299167E-1,-1.581387222E-2,-2.423617840E-1,-1.627702862E-1,2.923755786E-1
8.141459167E-1,-1.305244025E-2,-2.530357242E-1,-2.033515424E-1,3.248835079E-1
8.241629167E-1,-1.731114462E-2,-2.581696212E-1,-2.395802289E-1,3.526328333E-1
8.341799167E-1,-1.797773317E-2,-2.677815259E-1,-2.772637010E-1,3.858825007E-1
8.441969167E-1,-2.089356259E-2,-2.743119299E-1,-3.115931153E-1,4.156607335E-1
8.542139167E-1,-2.247921005E-2,-2.767585814E-1,-3.406740427E-1,4.394990678E-1
8.642299167E-1,-2.910262533E-2,-2.758297920E-1,-3.725725114E-1,4.644774626E-1
8.742469167E-1,-3.653790429E-2,-2.784716487E-1,-4.006435573E-1,4.892818590E-1
8.842639167E-1,-4.083574563E-2,-2.802408934E-1,-4.240483344E-1,5.099210785E-1
8.942809167E-1,-5.104550719E-2,-2.803032100E-1,-4.464010298E-1,5.295747471E-1
