"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.223958346E-3,1.570839882E-1,1.331713796E-1,6.968769245E-3,2.060547486E-1
1.523995835E-2,1.544240266E-1,1.290514767E-1,1.130759157E-2,2.015661809E-1
2.525595835E-2,1.097863354E-2,1.994953156E-1,1.355754584E-2,2.002566313E-1
3.527295834E-2,-9.165959805E-2,2.712035775E-1,1.178468019E-2,2.865165633E-1
4.528895834E-2,-5.500038713E-2,2.691602707E-1,1.228870824E-2,2.749969204E-1
5.530495834E-2,6.247404218E-2,1.944420934E-1,2.447346970E-2,2.056931801E-1
6.532095834E-2,1.123639941E-1,1.289420426E-1,2.751576900E-2,1.732305835E-1
7.533795835E-2,4.448774084E-2,1.304342002E-1,2.683932707E-2,1.404015283E-1
8.535395835E-2,-4.586655647E-2,1.714630574E-1,2.181672864E-2,1.788275446E-1
9.536995833E-2,-5.137983337E-2,1.926003098E-1,1.876687631E-2,2.002172877E-1
1.053859583E-1,1.097456645E-2,1.992786527E-1,2.098295093E-2,2.006806088E-1
1.154029583E-1,7.279559225E-2,2.045405209E-1,2.235634252E-2,2.182563378E-1
1.254189583E-1,6.009312347E-2,2.136715204E-1,1.601921767E-2,2.225383505E-1
1.354349583E-1,6.026159041E-3,2.093473375E-1,1.212913729E-2,2.097849811E-1
1.454509583E-1,-2.422847226E-2,1.967107058E-1,8.611586876E-3,1.983841729E-1
1.554679583E-1,-1.385207870E-3,1.835397631E-1,7.058165036E-3,1.836806499E-1
1.654839583E-1,3.895991668E-2,1.692726165E-1,8.284941316E-3,1.738957563E-1
1.754999583E-1,4.380740225E-2,1.546092480E-1,1.788426191E-3,1.607056519E-1
1.855159583E-1,9.636929259E-3,1.437365711E-1,-4.476423375E-3,1.441287988E-1
1.955319583E-1,-1.641837321E-2,1.482405216E-1,-1.082300209E-2,1.495391340E-1
2.055489583E-1,-9.021133184E-3,1.637311876E-1,-1.485351473E-2,1.646508716E-1
2.155649583E-1,2.432537265E-2,1.818827540E-1,-1.514246687E-2,1.841259195E-1
2.255809583E-1,4.725375772E-2,1.901347637E-1,-1.913344488E-2,1.968507930E-1
2.355969583E-1,3.305484727E-2,1.845557094E-1,-2.781961113E-2,1.895451491E-1
2.456139583E-1,9.499832056E-3,1.776979417E-1,-3.538129479E-2,1.814349506E-1
2.556299583E-1,1.338042552E-3,1.554754674E-1,-3.865991160E-2,1.602154802E-1
2.656459583E-1,1.409741584E-2,1.263908893E-1,-4.048962891E-2,1.334646173E-1
2.756619583E-1,2.813546918E-2,1.078648791E-1,-4.365346208E-2,1.197165883E-1
2.856789583E-1,2.639932744E-2,1.099584773E-1,-4.725559428E-2,1.225597096E-1
2.956949583E-1,1.016709488E-2,1.256391704E-1,-5.348632857E-2,1.369282962E-1
3.057109583E-1,6.417827681E-3,1.388158202E-1,-5.173930898E-2,1.482834332E-1
3.157269583E-1,1.813733391E-2,1.414952278E-1,-5.423841998E-2,1.526160823E-1
3.257439583E-1,3.624982759E-2,1.352036446E-1,-5.295236409E-2,1.496597086E-1
3.357599583E-1,3.542238474E-2,1.254841834E-1,-5.609968677E-2,1.419443570E-1
3.457759583E-1,1.910537668E-2,1.103380099E-1,-5.546121672E-2,1.249617478E-1
3.557921667E-1,1.030203234E-2,9.111718088E-2,-5.472432077E-2,1.067858783E-1
3.658091667E-1,1.263501775E-2,8.094304055E-2,-5.285206810E-2,9.749236170E-2
3.758251667E-1,1.948759705E-2,7.236286998E-2,-4.938276857E-2,8.974858897E-2
3.858411667E-1,2.029771730E-2,6.493403763E-2,-4.349395633E-2,8.074745078E-2
3.958571667E-1,1.441745646E-2,6.421604753E-2,-4.126382619E-2,7.768054559E-2
4.058741667E-1,7.580594625E-3,6.949082762E-2,-3.852619231E-2,7.981671524E-2
4.158901667E-1,8.116954938E-3,7.734742016E-2,-3.462199867E-2,8.513043612E-2
4.259061667E-1,1.410539076E-2,6.812922657E-2,-2.387333661E-2,7.355603144E-2
4.359221667E-1,1.272986829E-2,5.331938714E-2,-1.554430183E-2,5.697922350E-2
4.459381667E-1,7.767071016E-3,3.459244221E-2,-9.631380439E-3,3.673864368E-2
4.559551667E-1,-2.552145161E-3,1.678468101E-2,3.643411910E-3,1.736414155E-2
4.659711667E-1,-3.559090197E-3,1.188539714E-2,1.026758738E-2,1.610444469E-2
4.759871667E-1,-5.217973609E-3,3.152359277E-3,2.112769336E-2,2.198963492E-2
4.860031667E-1,-6.096366327E-3,2.376902848E-4,3.015768714E-2,3.076862481E-2
4.960201667E-1,-8.353661746E-3,-4.472642206E-3,3.763904050E-2,3.881347141E-2
5.060361667E-1,-1.300934423E-2,-1.387700438E-3,4.816017300E-2,4.990562106E-2
5.160521667E-1,-1.415263861E-2,-3.753120080E-3,5.562554300E-2,5.752029315E-2
5.260681667E-1,-1.727449521E-2,-1.232735626E-2,6.839980185E-2,7.161637236E-2
5.360851667E-1,-1.908491366E-2,-2.484341525E-2,7.655413449E-2,8.271616963E-2
5.461011667E-1,-2.188236453E-2,-3.868534788E-2,8.539634198E-2,9.627008487E-2
5.561171667E-1,-2.712745965E-2,-5.107570440E-2,9.291711450E-2,1.094450401E-1
5.661331667E-1,-3.123451211E-2,-6.606235355E-2,1.032090932E-1,1.264592671E-1
5.761491667E-1,-2.984088100E-2,-6.665437669E-2,1.093285009E-1,1.314762535E-1
5.861661667E-1,-2.928365581E-2,-6.683674455E-2,1.165091321E-1,1.374738549E-1
5.961821667E-1,-3.080432117E-2,-6.611556560E-2,1.198988035E-1,1.403420725E-1
6.061981667E-1,-3.353090584E-2,-7.017101347E-2,1.258772612E-1,1.479641094E-1
6.162141667E-1,-3.214339912E-2,-7.663743198E-2,1.316131800E-1,1.556551421E-1
6.262311667E-1,-3.445168585E-2,-8.290394396E-2,1.355492622E-1,1.625840861E-1
6.362471667E-1,-3.404581919E-2,-9.444235265E-2,1.378422529E-1,1.705255478E-1
6.462631667E-1,-3.617209941E-2,-1.034978554E-1,1.418260932E-1,1.792620081E-1
6.562791667E-1,-3.922514990E-2,-1.155848727E-1,1.413030475E-1,1.867217888E-1
6.662961667E-1,-3.531577066E-2,-1.227604076E-1,1.434741318E-1,1.920993176E-1
6.763121667E-1,-3.623402864E-2,-1.241151541E-1,1.441060901E-1,1.936079583E-1
6.863281667E-1,-3.413556889E-2,-1.256540716E-1,1.418990493E-1,1.925864039E-1
6.963441667E-1,-3.064549528E-2,-1.245712265E-1,1.398508102E-1,1.897772009E-1
7.063601667E-1,-2.923008241E-2,-1.274625510E-1,1.371204853E-1,1.894812052E-1
7.163771667E-1,-2.966843732E-2,-1.317361295E-1,1.360610723E-1,1.916956948E-1
7.263931667E-1,-3.071288764E-2,-1.409333795E-1,1.284061670E-1,1.931156199E-1
7.364091667E-1,-2.757621557E-2,-1.502142251E-1,1.230068728E-1,1.961006166E-1
7.464251667E-1,-2.859545127E-2,-1.560380161E-1,1.204277873E-1,1.991693105E-1
7.564421667E-1,-2.627130970E-2,-1.598314196E-1,1.153813601E-1,1.988696122E-1
7.664581667E-1,-2.253771387E-2,-1.622326523E-1,1.064918265E-1,1.953660439E-1
7.764741667E-1,-2.135180868E-2,-1.628387868E-1,9.788528830E-2,1.911907422E-1
7.864901667E-1,-1.938881725E-2,-1.615891308E-1,8.987749368E-2,1.859164793E-1
7.965071667E-1,-1.743272506E-2,-1.665154546E-1,8.220785856E-2,1.865192444E-1
8.065231667E-1,-1.891638339E-2,-1.678917259E-1,7.308229804E-2,1.840828169E-1
8.165391667E-1,-1.426064409E-2,-1.724654287E-1,6.291355193E-2,1.841352902E-1
8.265551667E-1,-1.248434838E-2,-1.732143462E-1,5.106290802E-2,1.810151630E-1
8.365711667E-1,-1.229126938E-2,-1.790346950E-1,4.051758721E-2,1.839732921E-1
8.465881667E-1,-1.103687659E-2,-1.846020371E-1,2.803409845E-2,1.870444744E-1
8.566041667E-1,-1.347553357E-2,-1.881054342E-1,2.003396302E-2,1.896486331E-1
8.666201667E-1,-9.915463626E-3,-1.869525313E-1,7.819827646E-3,1.873785342E-1
8.766361667E-1,-8.871770464E-3,-1.848124117E-1,-1.623209100E-3,1.850323502E-1
8.866531667E-1,-8.068850264E-3,-1.812138408E-1,-1.194262505E-2,1.817861071E-1
8.966691667E-1,-7.706128061E-3,-1.798979789E-1,-2.123332955E-2,1.813105664E-1
9.066851667E-1,-6.105389912E-3,-1.809709370E-1,-3.375753760E-2,1.841937219E-1
9.167011667E-1,-7.961346768E-3,-1.828679144E-1,-4.589729011E-2,1.887077593E-1
9.267171667E-1,-4.444851540E-3,-1.882524192E-1,-5.699228868E-2,1.967405678E-1
9.367341667E-1,-5.382550415E-3,-1.888138354E-1,-6.246881187E-2,1.989522273E-1
9.467501667E-1,-5.803199485E-3,-1.859048307E-1,-7.458430529E-2,2.003923696E-1
9.567661667E-1,-7.632258814E-3,-1.856331825E-1,-8.334584534E-2,2.036282391E-1
9.667821667E-1,-7.221132051E-3,-1.830966622E-1,-9.184373170E-2,2.049678109E-1
9.767991667E-1,-7.441908121E-3,-1.797016710E-1,-1.018971652E-1,2.067150329E-1
9.868151667E-1,-6.327887066E-3,-1.773757786E-1,-1.059921160E-1,2.067281733E-1
9.968311667E-1,-9.062686935E-3,-1.756617576E-1,-1.132252589E-1,2.091868653E-1
1.006847167E0,-1.079327520E-2,-1.704487652E-1,-1.183973923E-1,2.078153480E-1
1.016863167E0,-1.049579959E-2,-1.679960042E-1,-1.247330606E-1,2.095021614E-1
1.026880167E0,-8.630455472E-3,-1.698203832E-1,-1.286444217E-1,2.132201551E-1
1.036896167E0,-1.065499056E-2,-1.707658023E-1,-1.301901191E-1,2.149975701E-1
1.046912167E0,-1.224897895E-2,-1.680065393E-1,-1.341318190E-1,2.153313252E-1
1.056928167E0,-1.126520708E-2,-1.597150564E-1,-1.362919062E-1,2.102648041E-1
1.066945167E0,-1.273609512E-2,-1.559443772E-1,-1.375943422E-1,2.083580090E-1
1.076961167E0,-1.356433891E-2,-1.494388133E-1,-1.358180195E-1,2.023919085E-1
1.086977167E0,-1.531011797E-2,-1.431638896E-1,-1.367785484E-1,1.985917176E-1
1.096993167E0,-1.373059675E-2,-1.416807771E-1,-1.354680061E-1,1.965033144E-1
1.107009167E0,-1.561054587E-2,-1.377439946E-1,-1.337177008E-1,1.926071668E-1
1.117026167E0,-1.601481251E-2,-1.337178349E-1,-1.309845001E-1,1.878666358E-1
1.127042167E0,-1.865817793E-2,-1.249728352E-1,-1.252116710E-1,1.778884473E-1
1.137058167E0,-1.450604387E-2,-1.219096705E-1,-1.200033277E-1,1.716775808E-1
1.147074167E0,-1.482119504E-2,-1.135746911E-1,-1.147168130E-1,1.621074504E-1
1.157090167E0,-1.563905180E-2,-1.111853048E-1,-1.084229648E-1,1.560842441E-1
1.167107167E0,-1.493986137E-2,-1.030880883E-1,-1.000594795E-1,1.444377127E-1
1.177123167E0,-1.554812770E-2,-9.768933058E-2,-9.646474570E-2,1.381680019E-1
1.187139167E0,-1.179287024E-2,-8.806109428E-2,-8.617883176E-2,1.237764887E-1
1.197155167E0,-1.087541133E-2,-8.017334342E-2,-7.943357527E-2,1.133831224E-1
1.207172167E0,-8.493645117E-3,-7.413310558E-2,-6.958507746E-2,1.020291250E-1
1.217188167E0,-9.238531813E-3,-7.139883935E-2,-5.900514126E-2,9.308464657E-2
1.227204167E0,-3.749987110E-3,-6.687195599E-2,-4.872734845E-2,8.282677941E-2
1.237220167E0,-5.177174695E-3,-5.799004808E-2,-3.796471655E-2,6.950516900E-2
1.247236167E0,-3.979466856E-3,-4.719433933E-2,-2.960351855E-2,5.585257498E-2
1.257253167E0,-4.721157253E-3,-3.521970287E-2,-2.025768720E-2,4.090343123E-2
1.267269167E0,-2.429516171E-4,-3.086125106E-2,-9.183868766E-3,3.219967838E-2
1.277285167E0,-1.475728815E-3,-2.227229066E-2,1.130287070E-3,2.234972608E-2
1.287301167E0,4.112096503E-3,-1.493278239E-2,1.103358902E-2,1.901676666E-2
1.297318167E0,4.777885973E-3,-9.131619707E-3,2.053441480E-2,2.297557103E-2
1.307334167E0,3.114302177E-3,-2.039910294E-3,3.112970293E-2,3.135153132E-2
