"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.983332917E-1,1.550082117E-1,-1.616065353E-1,-6.603332758E-1,6.972691396E-1
6.083492917E-1,1.628421545E-1,-1.922477931E-1,-7.256459594E-1,7.681398568E-1
6.183652917E-1,1.644252986E-1,-2.220279127E-1,-7.853479385E-1,8.325283523E-1
6.283812917E-1,1.594047099E-1,-2.401589751E-1,-8.349277973E-1,8.832839983E-1
6.383972917E-1,1.555676758E-1,-2.610073686E-1,-8.744326830E-1,9.257206195E-1
6.484132917E-1,1.462615281E-1,-2.806026340E-1,-9.053895473E-1,9.590935852E-1
6.584292917E-1,1.319565475E-1,-2.900561094E-1,-9.241787195E-1,9.775742338E-1
6.684452917E-1,1.158872917E-1,-3.077373803E-1,-9.353789091E-1,9.914967792E-1
6.784612917E-1,9.445876628E-2,-3.287023306E-1,-9.402340055E-1,1.000503706E0
6.884772917E-1,7.090230286E-2,-3.457079530E-1,-9.286487103E-1,9.934432809E-1
6.984922917E-1,4.385636002E-2,-3.653922379E-1,-9.088894129E-1,9.805686272E-1
7.085082917E-1,1.532884408E-2,-3.764384985E-1,-8.777658939E-1,9.552035810E-1
7.185242917E-1,-1.327809040E-2,-3.877566159E-1,-8.374903798E-1,9.229960114E-1
7.285402917E-1,-4.161226004E-2,-3.941457868E-1,-7.911721468E-1,8.848931276E-1
7.385562917E-1,-7.040595263E-2,-4.025616348E-1,-7.314990759E-1,8.379163240E-1
7.485722917E-1,-9.373924136E-2,-4.097948074E-1,-6.637735367E-1,7.856934119E-1
7.585882917E-1,-1.200515777E-1,-4.120011032E-1,-5.883636475E-1,7.282369614E-1
7.686042917E-1,-1.429659426E-1,-4.233320653E-1,-5.050786138E-1,6.743542870E-1
7.786202917E-1,-1.631279737E-1,-4.299072921E-1,-4.153829515E-1,6.196563661E-1
7.886362917E-1,-1.767899841E-1,-4.367007315E-1,-3.222586215E-1,5.708001809E-1
7.986522917E-1,-1.889006197E-1,-4.414410889E-1,-2.213404179E-1,5.287203984E-1
8.086682917E-1,-1.942336112E-1,-4.404176176E-1,-1.243286431E-1,4.971438274E-1
8.186842917E-1,-1.935417354E-1,-4.385071397E-1,-2.217995189E-2,4.798321219E-1
8.287002917E-1,-1.903571188E-1,-4.365635514E-1,7.880125940E-2,4.827351299E-1
8.387162917E-1,-1.840210259E-1,-4.346318245E-1,1.791010350E-1,5.048224852E-1
8.487322917E-1,-1.686473936E-1,-4.326483011E-1,2.781123221E-1,5.412697659E-1
8.587482917E-1,-1.522250772E-1,-4.264372289E-1,3.710651398E-1,5.854148292E-1
8.687642917E-1,-1.308140606E-1,-4.236393273E-1,4.615726769E-1,6.400249480E-1
8.787802917E-1,-1.046062186E-1,-4.194808304E-1,5.450581908E-1,6.956975345E-1
8.887962917E-1,-7.726781070E-2,-4.124495685E-1,6.225340366E-1,7.507553449E-1
8.988122917E-1,-4.888884351E-2,-4.058220387E-1,6.940833330E-1,8.055019052E-1
9.088272917E-1,-1.674848422E-2,-3.985446990E-1,7.531656027E-1,8.522774278E-1
9.188432917E-1,1.519629732E-2,-3.906290829E-1,8.036497831E-1,8.936861764E-1
9.288592917E-1,4.618617147E-2,-3.806115985E-1,8.447282314E-1,9.276659616E-1
9.388752917E-1,7.459261268E-2,-3.665231168E-1,8.782691360E-1,9.545993548E-1
9.488912917E-1,1.086216867E-1,-3.552307785E-1,8.980016112E-1,9.717996041E-1
9.589072917E-1,1.341149062E-1,-3.463617265E-1,9.105234742E-1,9.833647598E-1
9.689232917E-1,1.553876996E-1,-3.362840712E-1,9.086083770E-1,9.812244883E-1
9.789392917E-1,1.780399233E-1,-3.253300786E-1,8.982450366E-1,9.717931982E-1
9.889552917E-1,1.948753595E-1,-3.097625673E-1,8.770374656E-1,9.503283484E-1
9.989712917E-1,2.054286599E-1,-2.911231518E-1,8.464337587E-1,9.183701496E-1
1.008987292E0,2.093317807E-1,-2.751716077E-1,8.079465032E-1,8.788155438E-1
1.019003292E0,2.118598372E-1,-2.535439432E-1,7.596505880E-1,8.283949165E-1
1.029019292E0,2.105879039E-1,-2.367497832E-1,7.055720091E-1,7.734530271E-1
1.039035292E0,1.985555589E-1,-2.162848860E-1,6.416972876E-1,7.056761798E-1
1.049051292E0,1.875638962E-1,-1.979921609E-1,5.749467611E-1,6.363528024E-1
1.059067292E0,1.673378497E-1,-1.757841259E-1,4.992237985E-1,5.550913581E-1
1.069083292E0,1.460011303E-1,-1.573300213E-1,4.196831882E-1,4.713841789E-1
1.079099292E0,1.207187846E-1,-1.356602162E-1,3.386743963E-1,3.842877384E-1
1.089115292E0,9.464058280E-2,-1.102656424E-1,2.535190284E-1,2.922109676E-1
1.099131292E0,5.981656536E-2,-8.438984305E-2,1.642797887E-1,1.941327280E-1
1.109147292E0,2.640214562E-2,-5.754943565E-2,7.462579757E-2,9.786736177E-2
1.119162292E0,-4.590655677E-3,-3.333650902E-2,-1.691982523E-2,3.766533471E-2
1.129178292E0,-4.106983542E-2,-1.018671505E-2,-1.052659377E-1,1.134522728E-1
1.139194292E0,-7.170058042E-2,1.283798460E-2,-1.919213533E-1,2.052793047E-1
1.149210292E0,-1.040790230E-1,4.010982066E-2,-2.808102071E-1,3.021516394E-1
1.159226292E0,-1.325038522E-1,6.395477802E-2,-3.623580337E-1,3.910892853E-1
1.169242292E0,-1.585857868E-1,8.968597651E-2,-4.405939877E-1,4.767767697E-1
1.179258292E0,-1.836809665E-1,1.112446785E-1,-5.146632791E-1,5.576668959E-1
1.189274292E0,-2.032661289E-1,1.343396157E-1,-5.834279656E-1,6.322597904E-1
1.199290292E0,-2.187563181E-1,1.560452878E-1,-6.465422511E-1,7.001580829E-1
1.209306292E0,-2.303850055E-1,1.794094741E-1,-7.055206299E-1,7.635603246E-1
1.219322292E0,-2.353333533E-1,1.987461895E-1,-7.519934177E-1,8.126351797E-1
1.229338292E0,-2.355117798E-1,2.134867907E-1,-7.914180756E-1,8.528686760E-1
1.239354292E0,-2.286810428E-1,2.360014170E-1,-8.234015703E-1,8.865561653E-1
1.249370292E0,-2.235065103E-1,2.537907958E-1,-8.477374911E-1,9.127013652E-1
1.259386292E0,-2.075540572E-1,2.720794678E-1,-8.620010614E-1,9.274436659E-1
1.269402292E0,-1.886778474E-1,2.886690795E-1,-8.672517538E-1,9.333031512E-1
1.279418292E0,-1.691199988E-1,3.053231537E-1,-8.604283929E-1,9.285261555E-1
1.289434292E0,-1.403842121E-1,3.189068735E-1,-8.472220302E-1,9.160755915E-1
1.299450292E0,-1.133591980E-1,3.308372498E-1,-8.237135410E-1,8.948785344E-1
1.309466292E0,-8.169394732E-2,3.439961970E-1,-7.890444994E-1,8.646377892E-1
1.319482292E0,-5.050102994E-2,3.570509553E-1,-7.444548607E-1,8.271933137E-1
1.329497292E0,-1.615450718E-2,3.668138385E-1,-6.931250691E-1,7.843696333E-1
1.339513292E0,1.391910296E-2,3.785367906E-1,-6.347751617E-1,7.392045382E-1
1.349529292E0,4.892395809E-2,3.895407319E-1,-5.682770610E-1,6.907056924E-1
1.359545292E0,7.739244401E-2,4.000616372E-1,-4.932356775E-1,6.397814763E-1
1.369561292E0,1.045226008E-1,4.055022001E-1,-4.147933424E-1,5.894154097E-1
1.379577292E0,1.260180920E-1,4.113152623E-1,-3.306992352E-1,5.426073983E-1
1.389593292E0,1.492051631E-1,4.178583622E-1,-2.379953861E-1,5.034973638E-1
1.399609292E0,1.624174565E-1,4.186012447E-1,-1.472671777E-1,4.725400024E-1
1.409625292E0,1.758262068E-1,4.242311716E-1,-5.595696345E-2,4.626209288E-1
1.419641292E0,1.821071357E-1,4.236489236E-1,3.709287196E-2,4.626200390E-1
1.429657292E0,1.878944486E-1,4.250779748E-1,1.332681328E-1,4.834831990E-1
1.439673292E0,1.889876723E-1,4.278529882E-1,2.249756902E-1,5.190265707E-1
1.449689292E0,1.817753017E-1,4.250084758E-1,3.102865815E-1,5.567335336E-1
1.459705292E0,1.702496707E-1,4.285664558E-1,3.954395652E-1,6.074756021E-1
1.469721292E0,1.599490941E-1,4.239314795E-1,4.731668532E-1,6.551247842E-1
1.479737292E0,1.443581879E-1,4.204924703E-1,5.431850553E-1,7.019282073E-1
1.489753542E0,1.278916001E-1,4.171765745E-1,6.103094816E-1,7.502467721E-1
1.499769542E0,1.063711420E-1,4.109554589E-1,6.701779366E-1,7.933080585E-1
1.509785542E0,8.202399313E-2,4.086145461E-1,7.182240486E-1,8.303851918E-1
1.519801542E0,5.937945843E-2,4.059665203E-1,7.598937154E-1,8.635816084E-1
1.529817542E0,3.870347515E-2,3.948406577E-1,7.912034392E-1,8.850988568E-1
1.539832542E0,1.352461707E-2,3.847898841E-1,8.127819896E-1,8.993668510E-1
1.549848542E0,-1.230884437E-2,3.786451519E-1,8.247749805E-1,9.076218525E-1
1.559864542E0,-3.300596029E-2,3.675329983E-1,8.311427236E-1,9.093778781E-1
1.569880542E0,-4.684028402E-2,3.528174460E-1,8.275170922E-1,9.008100246E-1
1.579896542E0,-6.376861781E-2,3.386274576E-1,8.124134541E-1,8.824684765E-1
1.589912542E0,-7.753476501E-2,3.271710873E-1,7.878373265E-1,8.565863723E-1
1.599928542E0,-9.266450256E-2,3.109171093E-1,7.538055182E-1,8.206576132E-1
1.609944542E0,-1.002912596E-1,2.879473269E-1,7.151779532E-1,7.774647932E-1
