"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.536708341E-3,-7.720525563E-2,9.813805670E-2,-5.236050487E-1,5.382880053E-1
1.555270834E-2,-5.536653101E-2,2.625315487E-1,-5.720196962E-1,6.318186446E-1
2.556870834E-2,-5.604457110E-2,2.649123967E-1,-6.047427654E-1,6.625959434E-1
3.558570833E-2,-5.708640069E-2,1.912522912E-1,-6.273237467E-1,6.583094859E-1
4.560170833E-2,-7.336987555E-2,1.527296603E-1,-6.405082941E-1,6.625408384E-1
5.561770833E-2,-5.195432901E-2,1.437785178E-1,-6.517319083E-1,6.694221350E-1
6.563470834E-2,-2.626660839E-2,1.677008420E-1,-6.570791602E-1,6.786505212E-1
7.565070834E-2,-7.856442593E-3,2.212200016E-1,-6.512151361E-1,6.878089605E-1
8.566670834E-2,3.212618083E-2,2.667293251E-1,-6.373201013E-1,6.916310691E-1
9.568270834E-2,8.571697026E-2,2.977170646E-1,-6.127430797E-1,6.866126501E-1
1.056997083E-1,1.377681345E-1,3.352192640E-1,-5.805561543E-1,6.843956912E-1
1.157157083E-1,1.850573570E-1,3.672757447E-1,-5.376891494E-1,6.769396719E-1
1.257317083E-1,2.277165800E-1,3.981959820E-1,-4.883737266E-1,6.700177443E-1
1.357487083E-1,2.498849779E-1,4.359098077E-1,-4.267497659E-1,6.592231984E-1
1.457647083E-1,2.761152983E-1,4.568524361E-1,-3.626214564E-1,6.453279220E-1
1.557807083E-1,3.037136495E-1,4.663250446E-1,-2.946186960E-1,6.296834158E-1
1.657966250E-1,3.205696046E-1,4.785083234E-1,-2.200617492E-1,6.165729969E-1
1.758126250E-1,3.356385529E-1,4.947112501E-1,-1.427853405E-1,6.146381965E-1
1.858286250E-1,3.409007788E-1,5.218794942E-1,-6.432508677E-2,6.266651931E-1
1.958446250E-1,3.382935524E-1,5.549935102E-1,1.420727465E-2,6.501247347E-1
2.058616250E-1,3.458477557E-1,5.906426907E-1,9.179612994E-2,6.905765617E-1
2.158776250E-1,3.496606052E-1,6.182525158E-1,1.703852117E-1,7.304312647E-1
2.258936250E-1,3.461558819E-1,6.595160365E-1,2.412785590E-1,7.829435740E-1
2.359106250E-1,3.378513455E-1,7.000259161E-1,3.027624190E-1,8.341731818E-1
2.459266250E-1,3.227056265E-1,7.391442060E-1,3.609584272E-1,8.836085473E-1
