"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.264583327E-3,2.819546685E-2,-1.093143001E-1,3.571462035E-1,3.745637613E-1
1.328058333E-2,5.436528847E-2,-2.011065930E-2,3.884100914E-1,3.927116274E-1
2.329658333E-2,1.310175806E-1,5.873260647E-2,4.032475948E-1,4.280464323E-1
3.331258333E-2,1.980301738E-1,1.491498500E-1,4.148693383E-1,4.832992813E-1
4.332758333E-2,2.205923200E-1,2.396654487E-1,4.364943802E-1,5.446355138E-1
5.334358333E-2,2.037222534E-1,2.792362869E-1,4.649838209E-1,5.793838228E-1
6.335958334E-2,1.897221655E-1,2.622908056E-1,4.918855727E-1,5.888483535E-1
7.337558334E-2,1.913184673E-1,2.198485285E-1,5.134909749E-1,5.904312938E-1
8.339158334E-2,1.997698247E-1,1.794061661E-1,5.295771956E-1,5.937563149E-1
9.340658333E-2,1.944789141E-1,1.901064813E-1,5.427441597E-1,6.070698026E-1
1.034225833E-1,1.789575666E-1,2.430846393E-1,5.498686433E-1,6.272730485E-1
1.134385833E-1,1.763452739E-1,2.951121628E-1,5.494539738E-1,6.481423559E-1
1.234545833E-1,1.881961823E-1,3.117696643E-1,5.485115647E-1,6.583943068E-1
1.334705833E-1,1.890728921E-1,3.008709550E-1,5.425152183E-1,6.485326916E-1
1.434865833E-1,1.643448770E-1,3.018180728E-1,5.378561020E-1,6.382731187E-1
1.535015833E-1,1.367121786E-1,3.150998056E-1,5.276793242E-1,6.296217725E-1
1.635175833E-1,1.336521357E-1,3.235983253E-1,5.114786029E-1,6.198299208E-1
1.735335833E-1,1.367113143E-1,3.219935000E-1,4.876649380E-1,6.001557208E-1
1.835495833E-1,1.244006380E-1,3.143550754E-1,4.651905596E-1,5.750625087E-1
1.935655833E-1,9.523236752E-2,3.125872910E-1,4.405078292E-1,5.484771334E-1
2.035805833E-1,7.708805799E-2,3.120574355E-1,4.116353691E-1,5.222701301E-1
2.135965833E-1,7.528163493E-2,3.273668885E-1,3.781924546E-1,5.058319256E-1
