"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.737916667E-3,-4.532387108E-2,2.413710207E-1,4.899845421E-1,5.480867399E-1
8.277083340E-3,2.657801472E-2,7.788141817E-2,4.678224921E-1,4.750050424E-1
1.829208333E-2,3.068793751E-2,4.365026951E-2,4.383410215E-1,4.415766600E-1
2.830708334E-2,-4.973020777E-2,9.593398124E-2,4.064012170E-1,4.205215470E-1
3.832108334E-2,-1.363471597E-1,1.001339033E-1,3.658836782E-1,4.030982666E-1
4.833608333E-2,-1.371463835E-1,3.500497341E-2,3.257479668E-1,3.551706865E-1
5.835108334E-2,-8.926248550E-2,3.369228542E-2,2.802250087E-1,2.960219872E-1
6.836608333E-2,-4.826445505E-2,1.329728067E-1,2.250997126E-1,2.658591837E-1
7.838008333E-2,-1.930450462E-2,2.398824394E-1,1.715550870E-1,2.955459296E-1
8.839508334E-2,-1.881838311E-3,2.329704911E-1,1.199930832E-1,2.620632195E-1
9.841008333E-2,-3.991110716E-3,1.665998101E-1,7.086826861E-2,1.810904117E-1
1.084250833E-1,-3.103551269E-2,1.293512434E-1,1.811531559E-2,1.342501839E-1
1.184397500E-1,-6.183940172E-2,1.305858046E-1,-3.023642674E-2,1.476177681E-1
1.284547500E-1,-6.765894592E-2,1.319304258E-1,-8.042795956E-2,1.686772862E-1
1.384697500E-1,-5.139306560E-2,1.154211313E-1,-1.305062175E-1,1.816456923E-1
1.484837500E-1,-3.091602214E-2,1.125119030E-1,-1.829656959E-1,2.170050106E-1
1.584987500E-1,-1.764353178E-2,1.286146194E-1,-2.352850139E-1,2.687230029E-1
1.685137500E-1,-2.497069072E-3,1.615485996E-1,-2.870360911E-1,3.293841268E-1
1.785287500E-1,2.991742268E-2,1.886746734E-1,-3.326322436E-1,3.835849242E-1
1.885427500E-1,4.559598491E-2,1.969256699E-1,-3.694874644E-1,4.211646942E-1
1.985577500E-1,4.572184384E-2,1.857753694E-1,-4.089055061E-1,4.514495407E-1
2.085727500E-1,3.328434750E-2,1.534440666E-1,-4.467508793E-1,4.735390982E-1
2.185877500E-1,2.531235665E-2,1.042939126E-1,-4.793398082E-1,4.912072754E-1
2.286017500E-1,2.955690213E-2,8.270473778E-2,-5.088719130E-1,5.163954956E-1
2.386167500E-1,4.614286870E-2,1.083506048E-1,-5.314561725E-1,5.443479412E-1
2.486317500E-1,7.409168035E-2,1.516011506E-1,-5.527020693E-1,5.778858567E-1
2.586467500E-1,1.066185981E-1,1.817150265E-1,-5.669087172E-1,6.047920055E-1
2.686607500E-1,1.176193133E-1,1.789775640E-1,-5.745567679E-1,6.131743234E-1
2.786757500E-1,1.149611026E-1,1.546083987E-1,-5.858749747E-1,6.167408678E-1
2.886907500E-1,1.055721268E-1,1.225633770E-1,-5.896978974E-1,6.114825145E-1
2.987057500E-1,9.931147099E-2,9.406257421E-2,-5.883621573E-1,6.040534449E-1
3.087197500E-1,9.988991171E-2,8.327650279E-2,-5.821314454E-1,5.964813410E-1
3.187347500E-1,1.043017879E-1,9.191304445E-2,-5.685848594E-1,5.853337621E-1
3.287497500E-1,1.087988019E-1,1.085953563E-1,-5.547167063E-1,5.756220591E-1
3.387637500E-1,1.208401620E-1,1.137671620E-1,-5.315824151E-1,5.568888363E-1
3.487787500E-1,1.280171126E-1,1.040562093E-1,-5.056940913E-1,5.319234812E-1
3.587937500E-1,1.246820018E-1,9.011160582E-2,-4.761262834E-1,5.003618099E-1
3.688087500E-1,1.127417237E-1,7.930130512E-2,-4.458149970E-1,4.666373375E-1
3.788227500E-1,1.032221541E-1,7.358437777E-2,-4.115598798E-1,4.306402308E-1
3.888377500E-1,9.588381648E-2,5.636997148E-2,-3.745845556E-1,3.907491129E-1
3.988527500E-1,8.283617347E-2,3.797658160E-2,-3.355188966E-1,3.476736722E-1
4.088677500E-1,7.314546406E-2,2.703525126E-2,-2.936803699E-1,3.038574063E-1
4.188817500E-1,6.469999254E-2,1.995907165E-2,-2.435747385E-1,2.528104167E-1
4.288967500E-1,6.074893475E-2,2.345127426E-2,-1.924108863E-1,2.031313479E-1
4.389117500E-1,6.250750273E-2,2.702754363E-2,-1.390533000E-1,1.548337698E-1
4.489267500E-1,5.146231130E-2,2.626827732E-2,-9.012250602E-2,1.070535285E-1
4.589407500E-1,3.499677405E-2,1.384382602E-2,-4.121327028E-2,5.581182097E-2
4.689557500E-1,1.412105653E-2,-1.144528482E-2,9.566022083E-3,2.054038853E-2
4.789707500E-1,-1.968457364E-3,-3.657168895E-2,5.949820206E-2,6.986701156E-2
4.889847500E-1,-1.431061048E-2,-4.831143469E-2,1.094151586E-1,1.204593925E-1
4.989997500E-1,-2.078357898E-2,-5.102926865E-2,1.604842544E-1,1.696795194E-1
5.090147500E-1,-2.488804236E-2,-4.667127132E-2,2.094904184E-1,2.160644756E-1
5.190297500E-1,-3.066289052E-2,-3.976077959E-2,2.588884234E-1,2.637126243E-1
5.290437500E-1,-3.731093928E-2,-4.290916771E-2,3.052924275E-1,3.105427011E-1
5.390587500E-1,-4.693904147E-2,-5.507142842E-2,3.504611552E-1,3.578535415E-1
5.490737500E-1,-6.028440967E-2,-7.399158925E-2,3.872351348E-1,3.988232879E-1
5.590887500E-1,-7.238462567E-2,-9.095439315E-2,4.228291214E-1,4.385164781E-1
5.691027500E-1,-8.101779222E-2,-9.811802953E-2,4.563854635E-1,4.737918548E-1
5.791177500E-1,-8.539224416E-2,-9.987662733E-2,4.891704619E-1,5.065125041E-1
5.891327500E-1,-8.124198020E-2,-9.698896110E-2,5.161520243E-1,5.314320559E-1
5.991477500E-1,-7.714938372E-2,-9.522736073E-2,5.378536582E-1,5.516401320E-1
6.091617500E-1,-7.558237761E-2,-9.732832760E-2,5.583554506E-1,5.717921899E-1
6.191767500E-1,-7.394018024E-2,-1.047274694E-1,5.739273429E-1,5.880710739E-1
6.291917500E-1,-7.559186965E-2,-1.107582003E-1,5.847749114E-1,5.999526704E-1
6.392067500E-1,-7.457870990E-2,-1.170710400E-1,5.869811773E-1,6.031703863E-1
6.492207500E-1,-7.259891927E-2,-1.247926056E-1,5.895223618E-1,6.069435003E-1
6.592357500E-1,-6.885852665E-2,-1.315429360E-1,5.847185254E-1,6.032750572E-1
6.692507500E-1,-6.276042014E-2,-1.333866417E-1,5.766438246E-1,5.951881778E-1
6.792647500E-1,-5.246246234E-2,-1.326750070E-1,5.615037084E-1,5.793456498E-1
6.892797500E-1,-4.233925417E-2,-1.280866414E-1,5.433321595E-1,5.598291130E-1
6.992947500E-1,-3.526800498E-2,-1.256611794E-1,5.227029324E-1,5.387512596E-1
7.093097500E-1,-2.324356697E-2,-1.249149591E-1,4.971483350E-1,5.131281296E-1
7.193237500E-1,-1.630609110E-2,-1.290858984E-1,4.683069587E-1,4.860457441E-1
7.293387500E-1,-1.094461605E-2,-1.392067075E-1,4.315105975E-1,4.535412746E-1
7.393537500E-1,-8.620311506E-3,-1.463795751E-1,3.955482841E-1,4.218527407E-1
7.493687500E-1,7.544184336E-5,-1.485873461E-1,3.558267057E-1,3.856045249E-1
7.593827500E-1,9.545501322E-3,-1.427588165E-1,3.112422228E-1,3.425535250E-1
7.693977500E-1,1.840211079E-2,-1.397084296E-1,2.664302588E-1,3.014003413E-1
7.794127500E-1,2.855288982E-2,-1.375221759E-1,2.173263431E-1,2.587631268E-1
7.894277500E-1,3.142324463E-2,-1.353996396E-1,1.680621207E-1,2.180948397E-1
7.994417500E-1,3.781541437E-2,-1.386866122E-1,1.189855263E-1,1.866052985E-1
8.094567500E-1,4.174251109E-2,-1.395803690E-1,6.533587724E-2,1.596680729E-1
8.194717500E-1,4.144171253E-2,-1.452905238E-1,1.306710672E-2,1.516492701E-1
8.294867500E-1,4.077618942E-2,-1.460460573E-1,-3.802244365E-2,1.563261165E-1
8.395007500E-1,3.917437419E-2,-1.442013830E-1,-9.079607576E-2,1.748502154E-1
8.495157500E-1,4.342131689E-2,-1.430692673E-1,-1.418086588E-1,2.060677600E-1
8.595307500E-1,4.514046386E-2,-1.407888979E-1,-1.920091361E-1,2.423358900E-1
8.695447500E-1,4.266159609E-2,-1.329139322E-1,-2.410579026E-1,2.785588583E-1
8.795597500E-1,4.256032780E-2,-1.318379194E-1,-2.844068408E-1,3.163540257E-1
8.895747500E-1,3.749606013E-2,-1.305215210E-1,-3.300739229E-1,3.569182211E-1
8.995897500E-1,3.450051695E-2,-1.322435290E-1,-3.682047725E-1,3.927510549E-1
9.096037500E-1,2.639332414E-2,-1.321660280E-1,-4.059287012E-1,4.277178707E-1
9.196187500E-1,1.866927184E-2,-1.299230307E-1,-4.403387010E-1,4.594852633E-1
9.296337500E-1,1.472566277E-2,-1.281658709E-1,-4.715935588E-1,4.889210778E-1
9.396487500E-1,9.786802344E-3,-1.224731132E-1,-4.964133799E-1,5.113919130E-1
9.496627500E-1,3.569918685E-3,-1.178120449E-1,-5.204218030E-1,5.336021695E-1
9.596777500E-1,-1.305242477E-4,-1.129962504E-1,-5.366479158E-1,5.484151304E-1
9.696927500E-1,-4.550306126E-3,-1.077543497E-1,-5.528444648E-1,5.632661071E-1
9.797077500E-1,-1.469531003E-2,-1.068874672E-1,-5.581825376E-1,5.685144044E-1
9.897217500E-1,-2.078596130E-2,-1.026959121E-1,-5.625248551E-1,5.721998944E-1
9.997367500E-1,-2.609056234E-2,-1.000667661E-1,-5.640633702E-1,5.734645244E-1
1.009751750E0,-2.963363193E-2,-9.501422942E-2,-5.570941567E-1,5.659149719E-1
1.019765750E0,-3.557384014E-2,-8.972173184E-2,-5.503320694E-1,5.587314864E-1
1.029780750E0,-3.458420932E-2,-8.276049793E-2,-5.366442204E-1,5.440885836E-1
1.039795750E0,-3.799791634E-2,-7.507079095E-2,-5.178544521E-1,5.246453077E-1
1.049810750E0,-4.065761715E-2,-6.923393905E-2,-4.938455224E-1,5.003296715E-1
1.059824750E0,-4.199817404E-2,-6.494341046E-2,-4.678066373E-1,4.741566651E-1
1.069839750E0,-4.318754375E-2,-5.846713483E-2,-4.382276833E-1,4.442151193E-1
1.079854750E0,-4.358585551E-2,-5.631458759E-2,-4.050512910E-1,4.112634288E-1
1.089869750E0,-4.650015384E-2,-5.069132894E-2,-3.666540980E-1,3.730510726E-1
