"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.344333331E-3,3.322223201E-2,1.150735468E-1,7.724158466E-3,1.200220833E-1
1.536133334E-2,5.045288429E-2,2.440251410E-1,8.309520781E-3,2.493247102E-1
2.537733334E-2,1.262339950E-1,2.573579848E-1,-8.597699925E-4,2.866511696E-1
3.539433333E-2,1.432012618E-1,2.343014181E-1,-2.758604009E-3,2.746112994E-1
4.541133334E-2,1.053438485E-1,2.408082336E-1,-2.592087258E-3,2.628548092E-1
5.542833333E-2,7.887948304E-2,1.933991760E-1,-3.040030599E-3,2.088886208E-1
6.544433333E-2,6.096743420E-2,1.568487287E-1,-9.026614949E-3,1.685230889E-1
7.546133334E-2,4.137082770E-2,1.545669287E-1,-1.464055851E-2,1.606761550E-1
8.547833333E-2,4.024227709E-2,1.595842093E-1,-2.255458012E-2,1.661182405E-1
9.549533334E-2,6.732609123E-2,2.095195502E-1,-3.280375525E-2,2.225024288E-1
1.055113333E-1,9.861692041E-2,2.958216071E-1,-4.572856799E-2,3.151615810E-1
1.155283333E-1,1.313572824E-1,3.579659462E-1,-6.031071022E-2,3.860462874E-1
1.255453333E-1,1.712010801E-1,3.802739680E-1,-6.912927330E-2,4.227256285E-1
1.355623333E-1,1.971416026E-1,4.165576696E-1,-8.345948160E-2,4.683487896E-1
1.455783333E-1,2.128845602E-1,4.429583848E-1,-9.364257753E-2,5.003008084E-1
1.555953333E-1,2.200298160E-1,4.690336585E-1,-1.028941348E-1,5.281977809E-1
1.656123333E-1,2.179103494E-1,5.091935396E-1,-1.153899282E-1,5.657542017E-1
1.756293333E-1,2.231565118E-1,5.353577733E-1,-1.225173473E-1,5.928045838E-1
1.856453333E-1,2.444875687E-1,5.424675941E-1,-1.296618134E-1,6.089806629E-1
1.956623333E-1,2.729772627E-1,5.435730815E-1,-1.320733130E-1,6.224400701E-1
2.056793333E-1,3.032211661E-1,5.416698456E-1,-1.332673132E-1,6.349090281E-1
2.156963333E-1,3.146874011E-1,5.664860010E-1,-1.336888969E-1,6.616700620E-1
2.257123333E-1,3.217733502E-1,5.982759595E-1,-1.336901486E-1,6.923476500E-1
2.357293333E-1,3.248756826E-1,6.200966239E-1,-1.331990510E-1,7.126050935E-1
2.457463333E-1,3.269583583E-1,6.278210282E-1,-1.286502630E-1,7.194525014E-1
2.557633333E-1,3.281831443E-1,6.200576425E-1,-1.212338731E-1,7.119503551E-1
2.657793333E-1,3.294121325E-1,5.928065777E-1,-1.112842858E-1,6.872526347E-1
2.757963333E-1,3.236725032E-1,5.598182678E-1,-1.019123569E-1,6.546346392E-1
2.858133333E-1,3.032600284E-1,5.316260457E-1,-9.050901979E-2,6.186960319E-1
2.958303333E-1,2.846612930E-1,4.928203225E-1,-8.142337948E-2,5.749205934E-1
3.058463333E-1,2.562591136E-1,4.537133873E-1,-7.090410590E-2,5.258820812E-1
3.158633333E-1,2.285363972E-1,4.055381417E-1,-5.547267944E-2,4.687934379E-1
3.258803333E-1,1.993962377E-1,3.573953509E-1,-4.369456321E-2,4.115817189E-1
3.358973333E-1,1.665964723E-1,2.999168634E-1,-3.113696165E-2,3.444909577E-1
3.459133333E-1,1.286245137E-1,2.476411462E-1,-2.199563198E-2,2.799182214E-1
3.559303333E-1,9.799017757E-2,1.937017441E-1,-6.521335337E-3,2.171749718E-1
3.659473333E-1,6.563908607E-2,1.320088506E-1,8.779764175E-3,1.476885592E-1
3.759643333E-1,3.505294397E-2,7.131861150E-2,1.934638806E-2,8.178836078E-2
3.859803333E-1,6.776288152E-3,1.478056610E-2,3.195428848E-2,3.585330902E-2
3.959973333E-1,-3.515305370E-2,-3.627223149E-2,4.184447229E-2,6.559246773E-2
4.060143333E-1,-7.228350639E-2,-8.760682493E-2,4.925553128E-2,1.237980954E-1
4.160313333E-1,-1.051423848E-1,-1.275617033E-1,5.843251944E-2,1.753318812E-1
4.260473333E-1,-1.297524273E-1,-1.737399399E-1,7.251591980E-2,2.286478029E-1
4.360643333E-1,-1.481042802E-1,-2.236406505E-1,8.758302033E-2,2.821715858E-1
4.460813333E-1,-1.673410684E-1,-2.686049938E-1,1.009766683E-1,3.321866394E-1
4.560983333E-1,-1.892538220E-1,-3.110416532E-1,1.113965511E-1,3.807533463E-1
4.661143333E-1,-2.160898447E-1,-3.442189991E-1,1.173894480E-1,4.230387959E-1
4.761313333E-1,-2.401203364E-1,-3.796654046E-1,1.235256344E-1,4.658993215E-1
4.861483333E-1,-2.612718046E-1,-4.191000164E-1,1.301303208E-1,5.107266196E-1
4.961653333E-1,-2.756164074E-1,-4.561954439E-1,1.379190087E-1,5.505454931E-1
5.061813333E-1,-2.826590240E-1,-4.920523167E-1,1.429156810E-1,5.851807397E-1
5.161983333E-1,-2.904035151E-1,-5.223992467E-1,1.488215029E-1,6.159407555E-1
5.262153333E-1,-2.948787212E-1,-5.390072465E-1,1.525450647E-1,6.330499734E-1
5.362313333E-1,-2.953322530E-1,-5.461812615E-1,1.549613476E-1,6.399594748E-1
5.462483333E-1,-2.937754095E-1,-5.524600148E-1,1.534133554E-1,6.442450751E-1
5.562653333E-1,-2.885460556E-1,-5.518272519E-1,1.477845013E-1,6.400096882E-1
5.662823333E-1,-2.870939076E-1,-5.610309839E-1,1.444087774E-1,6.465543842E-1
5.762983333E-1,-2.786956429E-1,-5.660046935E-1,1.427301913E-1,6.468419297E-1
5.863153333E-1,-2.757198513E-1,-5.652426481E-1,1.348540783E-1,6.432000545E-1
5.963323333E-1,-2.609683275E-1,-5.578531623E-1,1.299272329E-1,6.294328435E-1
6.063493333E-1,-2.484974712E-1,-5.434292555E-1,1.213677973E-1,6.097511715E-1
6.163653333E-1,-2.255740464E-1,-5.249349475E-1,1.116334051E-1,5.821532158E-1
6.263823333E-1,-2.087293863E-1,-4.952259958E-1,1.016835198E-1,5.469518094E-1
6.363993333E-1,-1.913362741E-1,-4.555819035E-1,8.779832721E-2,5.018694918E-1
6.464163333E-1,-1.723115444E-1,-4.204211533E-1,8.009286970E-2,4.613676216E-1
6.564323333E-1,-1.547780931E-1,-3.858242929E-1,6.650036573E-2,4.209975555E-1
6.664493333E-1,-1.381623149E-1,-3.604796827E-1,5.564685166E-2,3.900397403E-1
6.764663333E-1,-1.236661971E-1,-3.409589827E-1,4.490605742E-2,3.654625975E-1
6.864833333E-1,-1.154551357E-1,-3.401592374E-1,3.655597940E-2,3.610741403E-1
6.964993333E-1,-1.190469414E-1,-3.332022727E-1,3.255884349E-2,3.553252131E-1
7.065163333E-1,-1.218549833E-1,-3.290099204E-1,2.862136066E-2,3.520161174E-1
7.165333333E-1,-1.288625598E-1,-3.247400522E-1,2.112909034E-2,3.500115702E-1
7.265503333E-1,-1.266858876E-1,-3.135170341E-1,1.834107563E-2,3.386423479E-1
7.365663333E-1,-1.152039245E-1,-3.002310693E-1,1.435432397E-2,3.218954579E-1
7.465833333E-1,-1.045920476E-1,-2.705193758E-1,1.026998460E-2,2.902166461E-1
7.566003333E-1,-8.701305836E-2,-2.307408005E-1,8.915234357E-3,2.467631876E-1
7.666163333E-1,-6.490477175E-2,-1.859677285E-1,6.047773175E-3,1.970614143E-1
7.766333333E-1,-4.729754850E-2,-1.364545077E-1,1.390171004E-3,1.444258403E-1
7.866503333E-1,-3.245021775E-2,-9.630655497E-2,4.278937820E-3,1.017166578E-1
7.966673333E-1,-1.851522550E-2,-6.628154218E-2,3.053617198E-3,6.888672577E-2
8.066833333E-1,-1.325262152E-2,-4.393365979E-2,3.973450046E-3,4.606068546E-2
8.167003333E-1,-1.034391671E-2,-3.219763935E-2,8.700560778E-3,3.491968428E-2
8.267173333E-1,-6.115688477E-3,-1.479896903E-2,1.225745119E-2,2.016571942E-2
8.367343333E-1,1.968070865E-3,6.135873497E-3,1.424390264E-2,1.563364989E-2
8.467503333E-1,1.602457277E-2,3.960171714E-2,8.901363239E-3,4.363848303E-2
8.567673333E-1,2.968339436E-2,7.080250978E-2,9.370878339E-3,7.734282548E-2
8.667843333E-1,3.374653682E-2,9.173906595E-2,7.835117169E-3,9.806260260E-2
8.768003333E-1,3.735591844E-2,1.091798395E-1,2.621979686E-3,1.154234672E-1
8.868173333E-1,4.161540046E-2,1.322083920E-1,-5.181256682E-3,1.387002015E-1
8.968343333E-1,5.058918893E-2,1.593289673E-1,-1.607784629E-2,1.679389264E-1
9.068513333E-1,6.253175437E-2,1.802594513E-1,-2.788646519E-2,1.928246484E-1
9.168673333E-1,6.752651930E-2,2.002209127E-1,-4.319218546E-2,2.156706043E-1
9.268843333E-1,7.473239303E-2,2.195619643E-1,-5.589773878E-2,2.385727225E-1
9.369013333E-1,7.940065116E-2,2.358157784E-1,-7.202903926E-2,2.590400109E-1
9.469183333E-1,8.027004451E-2,2.501427233E-1,-9.278810024E-2,2.786113666E-1
9.569343333E-1,8.445147425E-2,2.658132911E-1,-1.074788943E-1,2.988987620E-1
9.669513333E-1,9.526064992E-2,2.796495557E-1,-1.245252341E-1,3.206009971E-1
9.769683333E-1,1.064310074E-1,2.990996838E-1,-1.444360912E-1,3.487835498E-1
9.869843333E-1,1.215165481E-1,3.151398301E-1,-1.605405211E-1,3.739687726E-1
9.970013333E-1,1.346144974E-1,3.332453370E-1,-1.743029356E-1,3.994434014E-1
1.007018333E0,1.472787410E-1,3.531936705E-1,-1.887070239E-1,4.266698223E-1
1.017035333E0,1.626110971E-1,3.744017482E-1,-1.979271472E-1,4.536454491E-1
1.027051333E0,1.757609248E-1,3.952476382E-1,-2.094359696E-1,4.805996500E-1
1.037068333E0,1.944078505E-1,4.167734385E-1,-2.126882225E-1,5.066860876E-1
1.047085333E0,2.141676694E-1,4.345661402E-1,-2.179366350E-1,5.312361976E-1
1.057101833E0,2.356780320E-1,4.586629272E-1,-2.160663009E-1,5.591068430E-1
1.067117833E0,2.533648908E-1,4.800284803E-1,-2.137515992E-1,5.833616854E-1
1.077134833E0,2.730070353E-1,5.050267577E-1,-2.094990611E-1,6.111257840E-1
1.087151833E0,2.942299843E-1,5.280336142E-1,-2.004329264E-1,6.368391785E-1
1.097168833E0,3.114523888E-1,5.525152087E-1,-1.862771511E-1,6.610407123E-1
1.107184833E0,3.240174949E-1,5.747395158E-1,-1.757813096E-1,6.827971271E-1
1.117201833E0,3.366182446E-1,5.898119211E-1,-1.544853449E-1,6.964593791E-1
1.127218833E0,3.402926028E-1,5.966169834E-1,-1.355423033E-1,7.000875634E-1
1.137234833E0,3.319793046E-1,5.921769142E-1,-1.140633821E-1,6.883997469E-1
1.147251833E0,3.202128708E-1,5.727981925E-1,-8.976372331E-2,6.623379636E-1
1.157268833E0,3.085445166E-1,5.470380187E-1,-6.917110085E-2,6.318504204E-1
1.167285833E0,2.852053046E-1,5.184508562E-1,-4.612601548E-2,5.935157668E-1
1.177301833E0,2.544061244E-1,4.776049256E-1,-2.213332988E-2,5.415891666E-1
1.187318833E0,2.272939533E-1,4.384637177E-1,-2.470559441E-3,4.938816423E-1
1.197335833E0,1.949368119E-1,3.952142596E-1,1.912900805E-2,4.410902295E-1
1.207351833E0,1.631599516E-1,3.475211859E-1,4.006001353E-2,3.860012294E-1
