"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.958499998E-3,-2.863814533E-1,-1.586844772E-1,-1.236393861E-2,3.276399961E-1
1.597349999E-2,-2.158077061E-1,-1.588669121E-1,-4.330513068E-3,2.680119683E-1
2.598949999E-2,-9.798862971E-3,-1.985224187E-1,2.751515061E-2,2.006595424E-1
3.600333333E-2,1.421286166E-1,-2.321346998E-1,5.076986924E-2,2.768838062E-1
4.601833333E-2,1.250380427E-1,-2.219524533E-1,4.193621874E-2,2.581783300E-1
5.603433332E-2,-2.652696893E-2,-1.682849675E-1,6.888222881E-3,1.705020762E-1
6.604933333E-2,-1.460343003E-1,-1.313460767E-1,-1.946657524E-2,1.973746597E-1
7.606533333E-2,-1.189595461E-1,-1.780986637E-1,-1.942716166E-2,2.150533009E-1
8.608033332E-2,5.707933567E-3,-2.828759849E-1,1.012490364E-3,2.829353786E-1
9.609533333E-2,7.524892688E-2,-3.370199203E-1,2.317705657E-3,3.453262218E-1
1.061113333E-1,2.298002690E-2,-3.072152436E-1,-4.893960897E-3,3.081123795E-1
1.161263333E-1,-7.356222719E-2,-2.534974217E-1,-2.397897281E-2,2.650421386E-1
1.261413333E-1,-1.026847512E-1,-2.480732352E-1,-3.244976699E-2,2.704394119E-1
1.361573333E-1,-4.103336856E-2,-2.859306037E-1,-2.748243883E-2,2.901643189E-1
1.461723333E-1,2.725564502E-2,-3.137639761E-1,-2.200928330E-2,3.157136542E-1
1.561873333E-1,3.196890652E-2,-3.008657694E-1,-2.442610264E-2,3.035438299E-1
1.662033333E-1,-2.373835258E-2,-2.769474983E-1,-3.060870431E-2,2.796431994E-1
1.762183333E-1,-6.610072404E-2,-2.637875080E-1,-3.456509486E-2,2.741311746E-1
1.862333333E-1,-5.017774925E-2,-2.811108232E-1,-3.268024698E-2,2.874179882E-1
1.962493333E-1,-9.839648381E-3,-3.201857805E-1,-2.708414569E-2,3.214798651E-1
2.062643333E-1,4.195610527E-3,-3.559533954E-1,-2.517358959E-2,3.568671075E-1
2.162793333E-1,-2.281816304E-2,-3.624999821E-1,-2.492564917E-2,3.640716874E-1
2.262953333E-1,-5.611113831E-2,-3.385440409E-1,-2.520022169E-2,3.440865860E-1
2.363103333E-1,-5.040691420E-2,-3.113382757E-1,-2.294638939E-2,3.162260516E-1
