"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.135666666E-3,1.051633283E-1,3.965935856E-2,-9.345707297E-2,1.461725516E-1
1.115066667E-2,9.962993115E-2,5.504032224E-2,-8.324880153E-2,1.410174571E-1
2.116566667E-2,5.032176897E-2,8.176833391E-2,-6.444928050E-2,1.156375831E-1
3.118066667E-2,-1.310512889E-2,2.889153361E-2,-8.674418181E-2,9.236351117E-2
4.119566666E-2,-8.331803977E-2,2.009584568E-3,-1.382979304E-1,1.614690426E-1
5.121066667E-2,-2.044434845E-1,-4.834725335E-2,-1.731422693E-1,2.722367365E-1
6.122591667E-2,-3.118064106E-1,-2.887920737E-1,-1.901383102E-1,4.655928227E-1
7.124091667E-2,-3.641147316E-1,-6.358892322E-1,-2.286626101E-1,7.676074795E-1
8.125591667E-2,-2.895185351E-1,-7.048738599E-1,-2.449515611E-1,8.004182705E-1
9.127091667E-2,-1.184665486E-1,-4.644906223E-1,-2.341827303E-1,5.335048383E-1
1.012859167E-1,1.017992422E-1,-3.084916994E-2,-2.160410136E-1,2.408079661E-1
1.112999167E-1,2.826660573E-1,3.423919380E-1,-1.984691471E-1,4.863356264E-1
1.213149167E-1,3.330439925E-1,4.213322699E-1,-1.867123544E-1,5.685953622E-1
1.313299167E-1,2.829495966E-1,2.692690790E-1,-1.909218431E-1,4.347613843E-1
1.413449167E-1,1.964461207E-1,3.095477633E-2,-2.004703432E-1,2.823785315E-1
1.513599167E-1,1.333626509E-1,-1.524231732E-1,-2.074836195E-1,2.899446028E-1
1.613749167E-1,1.115175337E-1,-1.908011883E-1,-2.014803141E-1,2.990578051E-1
1.713899167E-1,1.405289769E-1,-1.005570740E-1,-1.771469712E-1,2.474695292E-1
1.814049167E-1,1.765226722E-1,1.348480582E-2,-1.509161592E-1,2.326322868E-1
1.914199167E-1,2.086133659E-1,7.239723206E-2,-1.231741533E-1,2.528492983E-1
2.014349167E-1,2.372961491E-1,6.193606183E-2,-1.022105515E-1,2.656925573E-1
2.114499167E-1,2.559481561E-1,6.651479751E-3,-7.911903411E-2,2.679804515E-1
2.214649167E-1,2.598504722E-1,-3.921161592E-2,-6.369453669E-2,2.704012070E-1
2.314799167E-1,2.481370121E-1,-4.145361111E-2,-4.323542491E-2,2.552639431E-1
2.414949167E-1,2.392684072E-1,-1.891341433E-2,-2.183292992E-2,2.410057360E-1
2.515089167E-1,2.317892611E-1,-7.267775945E-3,-2.010941971E-4,2.319032612E-1
2.615239167E-1,2.284491211E-1,-2.380733751E-2,1.628440432E-2,2.302628326E-1
2.715389167E-1,2.272930741E-1,-6.249562651E-2,3.593856469E-2,2.384521447E-1
2.815539167E-1,2.309967279E-1,-8.612985164E-2,6.059810519E-2,2.538699864E-1
2.915689167E-1,2.387965322E-1,-7.867160439E-2,8.119974285E-2,2.642090145E-1
3.015839167E-1,2.637391686E-1,-3.107799031E-2,1.050201207E-1,2.855755878E-1
